code,start_date,end_date
000702.SZ,1997-03-18,2099-01-01
000703.SZ,1997-03-28,2099-01-01
000705.SZ,1997-04-10,2099-01-01
000707.SZ,1997-04-15,2099-01-01
000708.SZ,1997-03-26,2099-01-01
000709.SZ,1997-04-16,2099-01-01
000710.SZ,1997-04-22,2099-01-01
000711.SZ,1997-04-11,2099-01-01
000712.SZ,1997-04-15,2099-01-01
000713.SZ,1997-04-22,2099-01-01
000715.SZ,1997-05-08,2099-01-01
000716.SZ,1997-04-18,2099-01-01
000717.SZ,1997-05-08,2099-01-01
000718.SZ,1997-04-08,2099-01-01
000719.SZ,1997-03-31,2099-01-01
000720.SZ,1997-05-09,2099-01-01
000721.SZ,1997-04-30,2099-01-01
000722.SZ,1997-05-22,2099-01-01
000723.SZ,1997-05-15,2099-01-01
000725.SZ,2001-01-12,2099-01-01
000726.SZ,2000-12-25,2099-01-01
000727.SZ,1997-05-20,2099-01-01
000728.SZ,1997-06-16,2099-01-01
000729.SZ,1997-07-16,2099-01-01
000731.SZ,1997-06-17,2099-01-01
000732.SZ,1997-07-04,2099-01-01
000733.SZ,1997-07-03,2099-01-01
000735.SZ,1997-06-11,2099-01-01
000736.SZ,1997-04-25,2099-01-01
000737.SZ,1997-04-28,2099-01-01
000738.SZ,1997-06-26,2099-01-01
000739.SZ,1997-05-09,2099-01-01
000748.SZ,1997-07-04,2099-01-01
000750.SZ,1997-07-09,2099-01-01
000751.SZ,1997-06-26,2099-01-01
000752.SZ,1997-06-25,2099-01-01
000753.SZ,1997-06-26,2099-01-01
000755.SZ,1997-06-27,2099-01-01
000756.SZ,1997-08-06,2099-01-01
000757.SZ,1997-06-27,2099-01-01
000758.SZ,1997-04-16,2099-01-01
000759.SZ,1997-05-19,2099-01-01
000760.SZ,1997-06-27,2099-01-01
000761.SZ,1998-01-15,2099-01-01
000762.SZ,1997-07-08,2099-01-01
000766.SZ,1997-04-30,2099-01-01
000767.SZ,1997-06-09,2099-01-01
000768.SZ,1997-06-26,2099-01-01
